name,type,parent,,
Ballard Pines,city,Brevard,,
Bellwood,city,Brevard,,
Bonaventure,city,Brevard,,
Canova Beach,city,Brevard,,
Cape Canaveral,city,Brevard,,
City Point,city,Brevard,,
Cocoa,city,Brevard,,
Cocoa Beach,city,Brevard,,
Cocoa West,city,Brevard,,
Courtenay,city,Brevard,,
Delespine,city,Brevard,,
Dummit Grove,city,Brevard,,
East Mims,city,Brevard,,
Eau Gallie,city,Brevard,,
Floridana Beach,city,Brevard,,
Footman,city,Brevard,,
Frontenac,city,Brevard,,
Georgiana,city,Brevard,,
Grant,city,Brevard,,
Indialantic,city,Brevard,,
Indian Harbour Beach,city,Brevard,,
Indian River City,city,Brevard,,
Indianola,city,Brevard,,
Jay Jay,city,Brevard,,
June Park,city,Brevard,,
La Grange,city,Brevard,,
Lotus,city,Brevard,,
Malabar,city,Brevard,,
Melbourne,city,Brevard,,
Melbourne Beach,city,Brevard,,
Melbourne Village,city,Brevard,,
Merrit Island,city,Brevard,,
Micco,city,Brevard,,
Mims,city,Brevard,,
Mintons Corner,city,Brevard,,
Orsino,city,Brevard,,
Palm Bay,city,Brevard,,
Palm Shores,city,Brevard,,
Pineda,city,Brevard,,
Port Saint John,city,Brevard,,
Rockledge,city,Brevard,,
Rockwell,city,Brevard,,
Satellite Beach,city,Brevard,,
Scottsmoor,city,Brevard,,
Sharpes,city,Brevard,,
Shiloh,city,Brevard,,
South Cocoa Beach,city,Brevard,,
South Patrick,city,Brevard,,
South Patrick Shores,city,Brevard,,
Southmere,city,Brevard,,
Titusville,city,Brevard,,
Tropic,city,Brevard,,
Turnbull,city,Brevard,,
Valkaria,city,Brevard,,
Viera,city,Brevard,,
West Eau Gallie,city,Brevard,,
West Melbourne,city,Brevard,,
Whispering Hills Golf Estates,city,Brevard,,
Wiley,city,Brevard,,
Williams Point,city,Brevard,,
Wilson,city,Brevard,,
Andytown,city,Broward,,
Arlington Park,city,Broward,,
Barwal,city,Broward,,
Bay Harbor,city,Broward,,
Beverly Beach,city,Broward,,
Birch Ocean Front,city,Broward,,
Bonnie Loch,city,Broward,,
Boulevard Gardens,city,Broward,,
Breezeswept Park Estates,city,Broward,,
Brentwood Estates,city,Broward,,
Broadview,city,Broward,,
Broadview Park,city,Broward,,
Broward Estates,city,Broward,,
Broward Gardens,city,Broward,,
Broward Highlands,city,Broward,,
Browardale,city,Broward,,
Carver Heights,city,Broward,,
Carver Ranches,city,Broward,,
Carver Village,city,Broward,,
Chula Vista Isles,city,Broward,,
Coconut Creek,city,Broward,,
Coconut Creek Park,city,Broward,,
College Park,city,Broward,,
Collier Park,city,Broward,,
Cooper City,city,Broward,,
Coral Estates,city,Broward,,
Coral Heights,city,Broward,,
Coral Hills,city,Broward,,
Coral Manor,city,Broward,,
Coral Ridge Isles,city,Broward,,
Coral Springs,city,Broward,,
Coral Woods,city,Broward,,
Country Club Isles,city,Broward,,
Crystal Lake,city,Broward,,
Cypress Harbor,city,Broward,,
Cypress Isles Estates,city,Broward,,
Dania Beach,city,Broward,,
Davie,city,Broward,,
Deerfield Beach,city,Broward,,
Driftwood Acres,city,Broward,,
East Gate Park,city,Broward,,
Eastway Park,city,Broward,,
Fair Gate,city,Broward,,
