name,type,parent,,
River Junction,city,Gadsden,,
Rosedale,city,Gadsden,,
Santa Clara,city,Gadsden,,
Sawdust,city,Gadsden,,
Scotland,city,Gadsden,,
Shady Rest,city,Gadsden,,
Sycamore,city,Gadsden,,
Wetumpka,city,Gadsden,,
Bell,city,Gilchrist,,
Craggs,city,Gilchrist,,
Curtis,city,Gilchrist,,
Fanning Springs,city,Gilchrist,,
Little Lake City,city,Gilchrist,,
Lottieville,city,Gilchrist,,
Neals,city,Gilchrist,,
Spring Ridge,city,Gilchrist,,
Trenton,city,Gilchrist,,
Tyler,city,Gilchrist,,
Wannee,city,Gilchrist,,
Waters Lake,city,Gilchrist,,
Wilcox,city,Gilchrist,,
Wilcox Junction,city,Gilchrist,,
Williford,city,Gilchrist,,
Benbow,city,Glades,,
Buckhead Ridge,city,Glades,,
Fort Centre,city,Glades,,
Goodno,city,Glades,,
Hall City,city,Glades,,
Harrisburg,city,Glades,,
Lakeport,city,Glades,,
Liberty Point,city,Glades,,
Monkey Box,city,Glades,,
Moore Haven,city,Glades,,
Muce,city,Glades,,
Ortona,city,Glades,,
Palmdale,city,Glades,,
Sarasota Colony,city,Glades,,
Shawnee,city,Glades,,
Beacon Hill,city,Gulf,,
Dalkeith,city,Gulf,,
Gaskins Still,city,Gulf,,
Highland View,city,Gulf,,
Honeyville,city,Gulf,,
Indian Pass,city,Gulf,,
Iola,city,Gulf,,
Milltown,city,Gulf,,
Niles,city,Gulf,,
Oak Grove,city,Gulf,,
Odena,city,Gulf,,
Overstreet,city,Gulf,,
Port Saint Joe,city,Gulf,,
Ward Ridge,city,Gulf,,
Wewahitchka,city,Gulf,,
White City,city,Gulf,,
Adams,city,Hamilton,,
Avoca,city,Hamilton,,
Bakers Mill,city,Hamilton,,
Bellville,city,Hamilton,,
Blacks Still,city,Hamilton,,
Blue Springs,city,Hamilton,,
Camps Still,city,Hamilton,,
Cypress Creek,city,Hamilton,,
Facil,city,Hamilton,,
Genoa,city,Hamilton,,
Hillcoat,city,Hamilton,,
Jasper,city,Hamilton,,
Jennings,city,Hamilton,,
Kennedy Still,city,Hamilton,,
Long Branch,city,Hamilton,,
Marion,city,Hamilton,,
Octahatchee,city,Hamilton,,
Purvis Still,city,Hamilton,,
Rawls,city,Hamilton,,
West Lake,city,Hamilton,,
White Springs,city,Hamilton,,
Bowling Green,city,Hardee,,
Bridges,city,Hardee,,
Buchanan,city,Hardee,,
Coker,city,Hardee,,
Crewsville,city,Hardee,,
Fort Green,city,Hardee,,
Fort Green Springs,city,Hardee,,
Gardner,city,Hardee,,
Griffins Corner,city,Hardee,,
Kinsey,city,Hardee,,
Lemon Grove,city,Hardee,,
Lily,city,Hardee,,
Limestone,city,Hardee,,
Moffitt,city,Hardee,,
Oak Grove,city,Hardee,,
Ona,city,Hardee,,
Sweetwater,city,Hardee,,
Torrey,city,Hardee,,
Vandolah,city,Hardee,,
Wauchula,city,Hardee,,
Zolfo Springs,city,Hardee,,
Big Cypress Reservation,city,Hendry,,
Clewiston,city,Hendry,,
Denaud,city,Hendry,,
Felda,city,Hendry,,
Harlem,city,Hendry,,
Hooker Point,city,Hendry,,
Keri,city,Hendry,,
La Belle,city,Hendry,,
Montura,city,Hendry,,
Pioneer,city,Hendry,,
Port La Belle,city,Hendry,,
Sears,city,Hendry,,
South Clewiston,city,Hendry,,
Sugar Junction,city,Hendry,,
Sugarton,city,Hendry,,
Whidden Corner,city,Hendry,,
Alderman,city,Hernando,,
Ayers,city,Hernando,,
Bayport,city,Hernando,,
Berkeley,city,Hernando,,
Brookridge,city,Hernando,,
Brooksville,city,Hernando,,
Camps,city,Hernando,,
Conrock,city,Hernando,,
Cooglers Beach,city,Hernando,,
Croom,city,Hernando,,
Dixie,city,Hernando,,
Garden Grove,city,Hernando,,
Hernando Beach,city,Hernando,,
High Point,city,Hernando,,
Hill 'n Dale,city,Hernando,,
Istachatta,city,Hernando,,
Lake Lindsey,city,Hernando,,
Masaryktown,city,Hernando,,
Nobleton,city,Hernando,,
North Brooksville,city,Hernando,,
North Weeki Wachee,city,Hernando,,
Pine Island,city,Hernando,,
Powell,city,Hernando,,
Rerdell,city,Hernando,,
Richloam,city,Hernando,,
Ridge Manor,city,Hernando,,
Rital,city,Hernando,,
South Brooksville,city,Hernando,,
Spring Hill,city,Hernando,,
Spring Lake,city,Hernando,,
Timber Pines,city,Hernando,,
Weeki Wachee,city,Hernando,,
Weeki Wachee Acres,city,Hernando,,
Weeki Wachee Gardens,city,Hernando,,
Wiscon,city,Hernando,,
Alpine,city,Highlands,,
Archbold,city,Highlands,,
Avon Park,city,Highlands,,
Avon Park Lakes,city,Highlands,,
Bairs Den,city,Highlands,,
Bear Hollow,city,Highlands,,
Brighton,city,Highlands,,
Childs,city,Highlands,,
Cornwell,city,Highlands,,
De Soto City,city,Highlands,,
Fort Basinger,city,Highlands,,
Hen Scratch,city,Highlands,,
Hicoria,city,Highlands,,
Highland Lakes,city,Highlands,,
Highlands Park Estates,city,Highlands,,
Istokpoga,city,Highlands,,
Kuhlman,city,Highlands,,
Lake Placid,city,Highlands,,
Lakemont,city,Highlands,,
Lorida,city,Highlands,,
Marland,city,Highlands,,
Parker Island,city,Highlands,,
Placid Lakes,city,Highlands,,
Plains,city,Highlands,,
Sebring,city,Highlands,,
Sunvale,city,Highlands,,
Sylvan Shores,city,Highlands,,
Venus,city,Highlands,,
Wild Island,city,Highlands,,
Adamsville,city,Hillsborough,,
Antioch,city,Hillsborough,,
Apollo Beach,city,Hillsborough,,
Balm,city,Hillsborough,,
Bealsville,city,Hillsborough,,
Beattys Corner,city,Hillsborough,,
Bloomingdale,city,Hillsborough,,
Boyette,city,Hillsborough,,
Branchton,city,Hillsborough,,
Brandon,city,Hillsborough,,
Carrollwood,city,Hillsborough,,
Carrollwood Village,city,Hillsborough,,
Cheval,city,Hillsborough,,
Citrus Park,city,Hillsborough,,
Clair-Mel City,city,Hillsborough,,
Clarkwild,city,Hillsborough,,
Coronet,city,Hillsborough,,
Cosme,city,Hillsborough,,
Del Rio,city,Hillsborough,,
Dover,city,Hillsborough,,
Drew,city,Hillsborough,,
Durant,city,Hillsborough,,
East Lake,city,Hillsborough,,
East Tampa,city,Hillsborough,,
Edison,city,Hillsborough,,
Egypt Lake,city,Hillsborough,,
Fish Hawk,city,Hillsborough,,
Fort Lonesome,city,Hillsborough,,
Gardenville,city,Hillsborough,,
Gary,city,Hillsborough,,
Gibsonton,city,Hillsborough,,
Gulf City,city,Hillsborough,,
Harney,city,Hillsborough,,
Hopewell,city,Hillsborough,,
Jolly Corner,city,Hillsborough,,
Kennedy Hill,city,Hillsborough,,
Keystone,city,Hillsborough,,
Keysville,city,Hillsborough,,
Knights,city,Hillsborough,,
Lake Fern,city,Hillsborough,,
Lake Magdalene,city,Hillsborough,,
Leto,city,Hillsborough,,
Limona,city,Hillsborough,,
Lithia,city,Hillsborough,,
Lutz,city,Hillsborough,,
Mango,city,Hillsborough,,
Mango Hills,city,Hillsborough,,
Midway,city,Hillsborough,,
Moriczville,city,Hillsborough,,
Mount Enon,city,Hillsborough,,
Mullis City,city,Hillsborough,,
North Ruskin,city,Hillsborough,,
Northdale,city,Hillsborough,,
Nowatney,city,Hillsborough,,
Orient Park,city,Hillsborough,,
Palm River,city,Hillsborough,,
Palma Ceia,city,Hillsborough,,
Pebble Creek,city,Hillsborough,,
Pinecrest,city,Hillsborough,,
Plant City,city,Hillsborough,,
Pleasant Grove,city,Hillsborough,,
Port Sutton,city,Hillsborough,,
Port Tampa,city,Hillsborough,,
Progress Village,city,Hillsborough,,
Rattlesnake,city,Hillsborough,,
Remlap,city,Hillsborough,,
Riverview,city,Hillsborough,,
Rocky Creek,city,Hillsborough,,
Ruskin,city,Hillsborough,,
Seffner,city,Hillsborough,,
Shilow,city,Hillsborough,,
Sixmile Creek,city,Hillsborough,,
Snows Corner,city,Hillsborough,,
South Tampa,city,Hillsborough,,
Sulpher Springs,city,Hillsborough,,
Sun City,city,Hillsborough,,
Sun City Center,city,Hillsborough,,
Sydney,city,Hillsborough,,
Tampa,city,Hillsborough,,
Tarpon,city,Hillsborough,,
Temple Terrace,city,Hillsborough,,
Temple Terrace Junction,city,Hillsborough,,
Thonotosassa,city,Hillsborough,,
Town 'n' Country,city,Hillsborough,,
Trapnell,city,Hillsborough,,
Turkey Creek,city,Hillsborough,,
University,city,Hillsborough,,
Valrico,city,Hillsborough,,
Welcome,city,Hillsborough,,
West Chase,city,Hillsborough,,
West Park,city,Hillsborough,,
West Tampa,city,Hillsborough,,
Wimauma,city,Hillsborough,,
Ybor City,city,Hillsborough,,
Youmans,city,Hillsborough,,
Ards Crossroads,city,Holmes,,
Arrant Settlement,city,Holmes,,
Baker Settlement,city,Holmes,,
Barker Store,city,Holmes,,
Bethlehem,city,Holmes,,
Bonifay,city,Holmes,,
Cerrogordo,city,Holmes,,
Cobb Cross Roads,city,Holmes,,
Esto,city,Holmes,,
Gritney,city,Holmes,,
Hathaway Mill,city,Holmes,,
Hickory Hill,city,Holmes,,
Hobbs Crossroads,city,Holmes,,
Holland Crossroads,city,Holmes,,
Hoover Mill,city,Holmes,,
Hudson,city,Holmes,,
Izagora,city,Holmes,,
Leonia,city,Holmes,,
Miller Crossroads,city,Holmes,,
New Hope,city,Holmes,,
Noma,city,Holmes,,
Noma Junction,city,Holmes,,
Pittman,city,Holmes,,
Ponce de Leon,city,Holmes,,
Prosperity,city,Holmes,,
Royals Crossroads,city,Holmes,,
Smith Crossroads,city,Holmes,,
Westville,city,Holmes,,
Brookside,city,Indian River,,
Cummings,city,Indian River,,
Fellsmere,city,Indian River,,
Florida Ridge,city,Indian River,,
Gifford,city,Indian River,,
Indian River Shores,city,Indian River,,
Nevins,city,Indian River,,
North Beach,city,Indian River,,
Orchid,city,Indian River,,
Oslo,city,Indian River,,
Riomar,city,Indian River,,
Roseland,city,Indian River,,
Royal Poinciana Park,city,Indian River,,
Sebastian,city,Indian River,,
South Beach,city,Indian River,,
Vero Beach,city,Indian River,,
Vero Beach South,city,Indian River,,
Vero Lake Estates,city,Indian River,,
Wabasso,city,Indian River,,
Wabasso Beach,city,Indian River,,
West Vero Corridor,city,Indian River,,
Windsor,city,Indian River,,
Winter Beach,city,Indian River,,
Alford,city,Jackson,,
Alliance,city,Jackson,,
Bascom,city,Jackson,,
Browntown,city,Jackson,,
Campbellton,city,Jackson,,
Chipola Terrace,city,Jackson,,
Collins Mill,city,Jackson,,
Compass Lake,city,Jackson,,
Cottondale,city,Jackson,,
Cypress,city,Jackson,,
Dellwood,city,Jackson,,
Ellaville,city,Jackson,,
Glass,city,Jackson,,
Graceville,city,Jackson,,
Grand Ridge,city,Jackson,,
Greenwood,city,Jackson,,
Haynes,city,Jackson,,
Hornsville,city,Jackson,,
Inwood,city,Jackson,,
Jacob City,city,Jackson,,
Jacobs,city,Jackson,,
Kent Mill,city,Jackson,,
Kynesville,city,Jackson,,
Lovedale,city,Jackson,,
Malone,city,Jackson,,
Marianna,city,Jackson,,
Oakdale,city,Jackson,,
Parramore,city,Jackson,,
Rambo,city,Jackson,,
Richter Crossroads,city,Jackson,,
Rock Creek,city,Jackson,,
Round Lake,city,Jackson,,
Shady Grove,city,Jackson,,
Sills,city,Jackson,,
Simsville,city,Jackson,,
Sinai,city,Jackson,,
Sink Creek,city,Jackson,,
Sneads,city,Jackson,,
Steele City,city,Jackson,,
Two Egg,city,Jackson,,
Waddells Mill,city,Jackson,,
Alma,city,Jefferson,,
Ashville,city,Jefferson,,
Aucilla,city,Jefferson,,
Capps,city,Jefferson,,
Casa Blanco,city,Jefferson,,
Cody,city,Jefferson,,
Dills,city,Jefferson,,
Drifton,city,Jefferson,,
Fanlew,city,Jefferson,,
Festus,city,Jefferson,,
Fincher,city,Jefferson,,
Jarrett,city,Jefferson,,
Lamont,city,Jefferson,,
Limestone,city,Jefferson,,
Lloyd,city,Jefferson,,
Lois,city,Jefferson,,
Monticello,city,Jefferson,,
Montivilla,city,Jefferson,,
Nash,city,Jefferson,,
Thomas City,city,Jefferson,,
Wacissa,city,Jefferson,,
Waukeenah,city,Jefferson,,
Alton,city,Lafayette,,
Buckville,city,Lafayette,,
Chancey,city,Lafayette,,
Cooks Hammock,city,Lafayette,,
Day,city,Lafayette,,
Grady,city,Lafayette,,
Hatchbend,city,Lafayette,,
Mayo,city,Lafayette,,
Mayo Junction,city,Lafayette,,
Midway,city,Lafayette,,
Peterson,city,Lafayette,,
Townsend,city,Lafayette,,
Trail Center,city,Lafayette,,
Alexander Springs,city,Lake,,
Altoona,city,Lake,,
Astatula,city,Lake,,
Astor,city,Lake,,
Astor Park,city,Lake,,
Bassville Park,city,Lake,,
Bay Lake,city,Lake,,
Blue Lakes Ridge,city,Lake,,
Camp Ocala,city,Lake,,
Carlton Village,city,Lake,,
Cassia,city,Lake,,
Castle Hill,city,Lake,,
Chain O’ Lakes,city,Lake,,
Cisky Park,city,Lake,,
Clay Island,city,Lake,,
Clermont,city,Lake,,
Conant,city,Lake,,
Confer,city,Lake,,
Crows Bluff,city,Lake,,
Dalhousie Acres,city,Lake,,
Dona Vista,city,Lake,,
Dublin,city,Lake,,
Eldorado,city,Lake,,
Ellsworth Junction,city,Lake,,
Ethel,city,Lake,,
Eustis,city,Lake,,
Ferndale,city,Lake,,
Florida Hills,city,Lake,,
Forest Hills,city,Lake,,
Fort Mason,city,Lake,,
Four Corners,city,Lake,,
Fruitland Park,city,Lake,,
Fullerville,city,Lake,,
Grand Island,city,Lake,,
Groveland,city,Lake,,
Harbor Shores,city,Lake,,
Hawthorne,city,Lake,,
Howey Height,city,Lake,,
Howey-in-the-Hills,city,Lake,,
Johnsons Corner,city,Lake,,
Lady Lake,city,Lake,,
Lake Jem,city,Lake,,
Lake Kathryn,city,Lake,,
Lake Kathryn Heights,city,Lake,,
Lake Mack Park,city,Lake,,
Lane Park,city,Lake,,
Leesburg,city,Lake,,
Lisbon,city,Lake,,
Mascotte,city,Lake,,
Mid Florida Lakes,city,Lake,,
Minneola,city,Lake,,
Mohawk,city,Lake,,
Montclair,city,Lake,,
Montverde,city,Lake,,
Montverde Junction,city,Lake,,
Mosquito Grove,city,Lake,,
Mount Dora,city,Lake,,
Mount Homer,city,Lake,,
Mount Plymouth,city,Lake,,
Oakland Park,city,Lake,,
Okahumpka,city,Lake,,
Orange Bend,city,Lake,,
Orange Blossom,city,Lake,,
Orange Blossom Hills South,city,Lake,,
Orange Mountain,city,Lake,,
Paisley,city,Lake,,
Pine Hills,city,Lake,,
Pine Lakes,city,Lake,,
Pittman,city,Lake,,
Pumpkin Center,city,Lake,,
Reavills Corner,city,Lake,,
River Forest,city,Lake,,
Roan,city,Lake,,
Saint Francis,city,Lake,,
Seminole Springs,city,Lake,,
Seneca,city,Lake,,
Silver Beach Heights,city,Lake,,
Silver Lake,city,Lake,,
Skytop,city,Lake,,
Slones Ridge,city,Lake,,
Sorrento,city,Lake,,
South Clermont,city,Lake,,
South Pine Lakes,city,Lake,,
Sunnyside,city,Lake,,
Tavares,city,Lake,,
Tuscannoga,city,Lake,,
Umatilla,city,Lake,,
Waits Junction,city,Lake,,
Wekiva,city,Lake,,
Whitney,city,Lake,,
Yalaha,city,Lake,,
Alva,city,Lee,,
Bayshore,city,Lee,,
Bayshore Manor,city,Lee,,
Biggar,city,Lee,,
Boca Grande,city,Lee,,
Bokeelia,city,Lee,,
Bonita Shores,city,Lee,,
Bonita Springs,city,Lee,,
Buckingham,city,Lee,,
Burnt Store Marina,city,Lee,,
Cape Coral,city,Lee,,
Captiva,city,Lee,,
Charleston Park,city,Lee,,
Coconut,city,Lee,,
Council,city,Lee,,
Cypress Lake,city,Lee,,
Estero,city,Lee,,
Flamingo Bay,city,Lee,,
Forest Island Park,city,Lee,,
Fort Myers,city,Lee,,
Fort Myers Beach,city,Lee,,
Fort Myers Shores,city,Lee,,
Fort Myers Villas,city,Lee,,
Gasparilla,city,Lee,,
Gateway,city,Lee,,
Harlem Heights,city,Lee,,
Iona,city,Lee,,
Lehigh Acres,city,Lee,,
Lochmoor Waterway Estates,city,Lee,,
Matlacha,city,Lee,,
Matlacha Isles,city,Lee,,
Matlacha Shores,city,Lee,,
McGregor,city,Lee,,
Morse Shores,city,Lee,,
North Fort Myers,city,Lee,,
Olga,city,Lee,,
Page Park,city,Lee,,
Palmona Park,city,Lee,,
Pine Island Center,city,Lee,,
Pine Manor,city,Lee,,
Pineland,city,Lee,,
Port Boca Grande,city,Lee,,
Punta Rassa,city,Lee,,
Saint James City,city,Lee,,
Salvista,city,Lee,,
San Carlos Park,city,Lee,,
Sanibel,city,Lee,,
Shell Point Village,city,Lee,,
Slater,city,Lee,,
Suncoast Estates,city,Lee,,
Telegraph Estates,city,Lee,,
Three Oaks,city,Lee,,
Tice,city,Lee,,
Truckland,city,Lee,,
Villas,city,Lee,,
Whiskey Creek,city,Lee,,
Wulfert,city,Lee,,
Ybel,city,Lee,,
Baum,city,Leon,,
Belair,city,Leon,,
Bellwood Estates,city,Leon,,
Black Creek,city,Leon,,
Blocker,city,Leon,,
Bloxham,city,Leon,,
Bradfordville,city,Leon,,
Bridle Path Acres,city,Leon,,
Capitola,city,Leon,,
Centerville,city,Leon,,
Chaires,city,Leon,,
Concord,city,Leon,,
El Destinado,city,Leon,,
Felkel,city,Leon,,
Four Points,city,Leon,,
Gardner,city,Leon,,
Harbinwood Estates,city,Leon,,
Helen,city,Leon,,
Holland,city,Leon,,
Homestead Ridge,city,Leon,,
Iamonia,city,Leon,,
Jackson Bluff,city,Leon,,
Lafayette,city,Leon,,
Lake Jackson,city,Leon,,
Lutterloh,city,Leon,,
Meridian,city,Leon,,
Miccosukee,city,Leon,,
Norfleet,city,Leon,,
Oak Knoll Estates,city,Leon,,
Ochlockonee,city,Leon,,
Peck,city,Leon,,
Perkins,city,Leon,,
Rose,city,Leon,,
Saint Peter,city,Leon,,
Spring Hill,city,Leon,,
Tallahassee,city,Leon,,
Wadesboro,city,Leon,,
Ward,city,Leon,,
Woodville,city,Leon,,
Andrews,city,Levy,,
Beetree Ford,city,Levy,,
Bronson,city,Levy,,
Cedar Key,city,Levy,,
Chiefland,city,Levy,,
Crackertown,city,Levy,,
East Bronson,city,Levy,,
East Williston,city,Levy,,
Ellzey,city,Levy,,
Fanning Springs,city,Levy,,
Fowlers Bluff,city,Levy,,
Gulf Hammock,city,Levy,,
Hardeetown,city,Levy,,
Hodgson,city,Levy,,
Inglis,city,Levy,,
Manatee Road,city,Levy,,
Merediths,city,Levy,,
Montbrook,city,Levy,,
Morriston,city,Levy,,
Otter Creek,city,Levy,,
Port Inglis,city,Levy,,
Raleigh,city,Levy,,
Rosewood,city,Levy,,
Sumner,city,Levy,,
Tidewater,city,Levy,,
Usher,city,Levy,,
Vista,city,Levy,,
Williston,city,Levy,,
Williston Highlands,city,Levy,,
Yankeetown,city,Levy,,
Bon Ami,city,Liberty,,
Bristol,city,Liberty,,
Central City,city,Liberty,,
Clio,city,Liberty,,
Conners Ford,city,Liberty,,
Estiffanulga,city,Liberty,,
Fawn Ford,city,Liberty,,
Hosford,city,Liberty,,
Kern,city,Liberty,,
Lake Mystic,city,Liberty,,
Lewis,city,Liberty,,
Liberty,city,Liberty,,
Lowry,city,Liberty,,
Orange,city,Liberty,,
Rock Bluff,city,Liberty,,
Sumatra,city,Liberty,,
Sweetwater,city,Liberty,,
Telogia,city,Liberty,,
Twin Pole,city,Liberty,,
Vilas,city,Liberty,,
White Springs,city,Liberty,,
Wilma,city,Liberty,,
Woods,city,Liberty,,
Bailey,city,Madison,,
Cherry Lake,city,Madison,,
Dennet,city,Madison,,
Ebb,city,Madison,,
Greenville,city,Madison,,
Hamburg,city,Madison,,
Hanson,city,Madison,,
Hopewell,city,Madison,,
Lee,city,Madison,,
Leland,city,Madison,,
Lovett,city,Madison,,
Madison,city,Madison,,
Maysland,city,Madison,,
Pinetta,city,Madison,,
Sirmans,city,Madison,,
Spray,city,Madison,,
Stern,city,Madison,,
Anna Maria,city,Manatee,,
Ballantine Manor,city,Manatee,,
Bayshore Gardens,city,Manatee,,
Bethany,city,Manatee,,
Braden Castle,city,Manatee,,
Bradenton,city,Manatee,,
Bradenton Beach,city,Manatee,,
Cedar Hammock,city,Manatee,,
Cortez,city,Manatee,,
Duette,city,Manatee,,
Eastgate,city,Manatee,,
Edgeville,city,Manatee,,
Ellenton,city,Manatee,,
Elwood Park,city,Manatee,,
Fort Hamer,city,Manatee,,
Foxleigh,city,Manatee,,
Gillette,city,Manatee,,
Holmes Beach,city,Manatee,,
Ilexhurst,city,Manatee,,
Keentown,city,Manatee,,
Lakewood Ranch,city,Manatee,,
Longbeach,city,Manatee,,
Longboat Key,city,Manatee,,
Lorraine,city,Manatee,,
Manatee,city,Manatee,,
Manhattan,city,Manatee,,
Matoaka,city,Manatee,,
Memphis,city,Manatee,,
Memphis Heights,city,Manatee,,
Myakka City,city,Manatee,,
Myakka Head,city,Manatee,,
Oak Knoll,city,Manatee,,
Oneco,city,Manatee,,
Palm View,city,Manatee,,
Palma Sola,city,Manatee,,
Palma Sola Park,city,Manatee,,
Palmetto,city,Manatee,,
Parmalee,city,Manatee,,
Parrish,city,Manatee,,
Piney Point,city,Manatee,,
Rubonia,city,Manatee,,
Rye,city,Manatee,,
Samoset,city,Manatee,,
Sandy,city,Manatee,,
South Bradenton,city,Manatee,,
Tallevast,city,Manatee,,
Terra Ceia,city,Manatee,,
Terra Mana,city,Manatee,,
Trailer Estates,city,Manatee,,
Verna,city,Manatee,,
Waterbury,city,Manatee,,
West Bradenton,city,Manatee,,
West Samoset,city,Manatee,,
Whitfield,city,Manatee,,
Whitfield Estates,city,Manatee,,
Whitney Beach,city,Manatee,,
Willow,city,Manatee,,
Anthony,city,Marion,,
Bay Lake,city,Marion,,
Belleview,city,Marion,,
Belleview Heights,city,Marion,,
Blitchton,city,Marion,,
Boardman,city,Marion,,
Bruceville,city,Marion,,
Burbank,city,Marion,,
Camp Roosevelt,city,Marion,,
Candler,city,Marion,,
Cedar Creek,city,Marion,,
Chatmire,city,Marion,,
Citra,city,Marion,,
Conner,city,Marion,,
Dallas,city,Marion,,
Danks Corner,city,Marion,,
Dunnellon,city,Marion,,
Early Bird,city,Marion,,
East Lake Weir,city,Marion,,
Electra,city,Marion,,
Eureka,city,Marion,,
Fairfield,city,Marion,,
Fellowship,city,Marion,,
Flemington,city,Marion,,
Fort McCoy,city,Marion,,
Grahamsville,city,Marion,,
Hog Valley,city,Marion,,
Hoyt,city,Marion,,
Irvine,city,Marion,,
Kendrick,city,Marion,,
Kerr City,city,Marion,,
Lacota,city,Marion,,
Lake Weir,city,Marion,,
Leroy,city,Marion,,
Lowell,city,Marion,,
Lynne,city,Marion,,
Marion Oaks,city,Marion,,
Martel,city,Marion,,
Martin,city,Marion,,
McIntosh,city,Marion,,
Millwood,city,Marion,,
Monroes Corner,city,Marion,,
Montague,city,Marion,,
Moss Bluff,city,Marion,,
Mount Olive,city,Marion,,
Oak,city,Marion,,
Ocala,city,Marion,,
Ocala Ridge,city,Marion,,
Ocklawaha,city,Marion,,
Orange Blossom Hills,city,Marion,,
Orange Lake,city,Marion,,
Orange Springs,city,Marion,,
Pedro,city,Marion,,
Point Pleasant,city,Marion,,
Rainbow Falls,city,Marion,,
Reddick,city,Marion,,
Rocksprings,city,Marion,,
Romeo,city,Marion,,
Ross Prarie,city,Marion,,
Salt Springs,city,Marion,,
Santos,city,Marion,,
Shady,city,Marion,,
Silver Springs,city,Marion,,
Silver Springs Shores,city,Marion,,
Sparr,city,Marion,,
Stanton,city,Marion,,
Starkes Ferry,city,Marion,,
Summerfield,city,Marion,,
Sunset Harbor,city,Marion,,
Weirsdale,city,Marion,,
York,city,Marion,,
Zuber,city,Marion,,
Arundel,city,Martin,,
Bessemer,city,Martin,,
Blowing Rocks,city,Martin,,
Bluefield,city,Martin,,
Coral Gardens,city,Martin,,
Golden Gate,city,Martin,,
Gomez,city,Martin,,
Hell Gate,city,Martin,,
Hobe Sound,city,Martin,,
Indiantown,city,Martin,,
Jensen Beach,city,Martin,,
Jupiter Island,city,Martin,,
Lighthouse Point,city,Martin,,
Marcy,city,Martin,,
North River Shores,city,Martin,,
Ocean Breeze Park,city,Martin,,
Palm City,city,Martin,,
Port Mayaca,city,Martin,,
Port Salerno,city,Martin,,
Port Sewall,city,Martin,,
Rio,city,Martin,,
Seminole Shores,city,Martin,,
Sewall's Point,city,Martin,,
Snug Harbor,city,Martin,,
Stuart,city,Martin,,
Zana,city,Martin,,
Aladdin City,city,Miami-Dade,,
Alameda,city,Miami-Dade,,
Allapattah,city,Miami-Dade,,
Andover,city,Miami-Dade,,
Andover Golf Estates,city,Miami-Dade,,
Andover Lakes Estates,city,Miami-Dade,,
Atlantic Heights,city,Miami-Dade,,
Aventura,city,Miami-Dade,,
Bal Harbour,city,Miami-Dade,,
Bay Harbor Islands,city,Miami-Dade,,
Bay Heights,city,Miami-Dade,,
Bayshore,city,Miami-Dade,,
Biscayne Gardens,city,Miami-Dade,,
Biscayne Park,city,Miami-Dade,,
Brickell Hammock,city,Miami-Dade,,
Brownsville,city,Miami-Dade,,
Buena Vista,city,Miami-Dade,,
Bunche Park,city,Miami-Dade,,
Carol City,city,Miami-Dade,,
Coconut Grove,city,Miami-Dade,,
Coopertown,city,Miami-Dade,,
Coral Gables,city,Miami-Dade,,
Coral Terrace,city,Miami-Dade,,
Coral Way Village,city,Miami-Dade,,
Country Club,city,Miami-Dade,,
Country Walk,city,Miami-Dade,,
Cutler,city,Miami-Dade,,
Cutler Bay,city,Miami-Dade,,
Cutler Ridge,city,Miami-Dade,,
Deering Bay,city,Miami-Dade,,
Doral,city,Miami-Dade,,
East Perrine,city,Miami-Dade,,
Eastern Shores,city,Miami-Dade,,
Edison Center,city,Miami-Dade,,
El Portal,city,Miami-Dade,,
Fisher Island,city,Miami-Dade,,
Flagami,city,Miami-Dade,,
Florida City,city,Miami-Dade,,
Fortymile Bend,city,Miami-Dade,,
Fountainbleau,city,Miami-Dade,,
Franjo,city,Miami-Dade,,
Frog City,city,Miami-Dade,,
Gables by the Sea,city,Miami-Dade,,
Gables Estates,city,Miami-Dade,,
Gladeview,city,Miami-Dade,,
Glenvar Heights,city,Miami-Dade,,
Glenwood Heights,city,Miami-Dade,,
Golden Beach,city,Miami-Dade,,
Golden Glades,city,Miami-Dade,,
Goulds,city,Miami-Dade,,
Green-Mar Acres,city,Miami-Dade,,
Hawley Heights,city,Miami-Dade,,
Hialeah,city,Miami-Dade,,
Hialeah Estates,city,Miami-Dade,,
Hialeah Gardens,city,Miami-Dade,,
Highland Lakes,city,Miami-Dade,,
Homestead,city,Miami-Dade,,
Homestead Base,city,Miami-Dade,,
Howard,city,Miami-Dade,,
Indian Creek,city,Miami-Dade,,
Inlikita,city,Miami-Dade,,
Islandia,city,Miami-Dade,,
Isle of Normandy,city,Miami-Dade,,
Ives Estates,city,Miami-Dade,,
Kendale Lakes,city,Miami-Dade,,
Kendall,city,Miami-Dade,,
Kendall West,city,Miami-Dade,,
Key Biscayne,city,Miami-Dade,,
Keystone Islands,city,Miami-Dade,,
Kings Bay,city,Miami-Dade,,
Lake Lucerne,city,Miami-Dade,,
Lakes by the Bay,city,Miami-Dade,,
Leisure City,city,Miami-Dade,,
Lemon City,city,Miami-Dade,,
Liberty Square,city,Miami-Dade,,
Lindgren,city,Miami-Dade,,
Lindgren Acres,city,Miami-Dade,,
Little River,city,Miami-Dade,,
Ludlam,city,Miami-Dade,,
Mart Law Seminole Village,city,Miami-Dade,,
Medley,city,Miami-Dade,,
Miami,city,Miami-Dade,,
Miami Beach,city,Miami-Dade,,
Miami Gardens,city,Miami-Dade,,
